id,latitud,longitud,r_j
0537-4N,-31.568356853113,-71.100900658174,0.153566234163761
0538-4N,-31.567516482499,-71.100847570981,0.153566234163761
0544-4N,-31.413009419968,-71.084218765746,0.154714503457611
0545-4N,-30.853934945548,-71.223658252443,0.122571290675764
0548-4N,-31.417617758778,-71.059455945668,0.154714503457611
0549-4N,-31.406845037876,-71.467141487474,0.145933155560732
0550-4N,-30.863953841088,-71.24494782004,0.122571290675764
0562-4N,-31.420673357295,-71.083339303593,0.154714503457611
0563-4N,-29.332645060185,-71.146920673599,0.0291087028915056
0564-4N,-30.253503941659,-71.078977637508,0.0760499613393383
0565-4N,-30.252630213254,-71.078872940062,0.0760499613393383
0570-4N,-29.980849580872,-71.05552362324,0.0615066254804842
0571-4N,-29.980755274962,-71.052978983935,0.0615066254804842
0572-4N,-29.98093251923,-71.054012009314,0.0615066254804842
0573-4N,-29.979519895193,-71.054166766907,0.0615066254804842
0574-4N,-29.981654868203,-71.054387278129,0.0615066254804842
0575-4N,-29.888266914175,-70.923332273732,0.0562760905830411
0578-4N,-29.890801040297,-70.888875511785,0.0562760905830411
0579-4N,-29.89170002904,-70.893173229303,0.0562760905830411
0581-4N,-29.884379203803,-70.867252633671,0.0562760905830411
0582-4N,-29.972390177437,-70.998094478161,0.0562760905830411
0585-4N,-31.664282134231,-71.252744005802,0.153429929488721
0586-4N,-31.663721391249,-71.252045357039,0.153429929488721
0587-4N,-31.663675369763,-71.251301358974,0.153429929488721
0588-4N,-30.203609224568,-71.085508195789,0.0760499613393383
0589-4N,-30.203103316934,-71.086496708176,0.0760499613393383
0590-4N,-30.20102470636,-71.087611668537,0.0760499613393383
0591-4N,-30.20187716031,-71.087474142671,0.0760499613393383
0595-4N,-30.915364039742,-71.680752853975,0.121064590464582
0601-4N,-30.948272181229,-70.497754198558,0.155086244646946
0609-4N,-31.616544084118,-71.14477147369,0.153566234163761
0635-4N,-30.2377561943,-71.083686232627,0.0760499613393383
0658-4N,-31.214039290841,-71.061217019133,0.149222372655108
0669-4N,-31.2310951191,-71.583676229926,0.133138374897123
0670-3N,-27.408939241008,-70.355321929423,0.0109897674354661
0680-5C,-32.683010506187,-71.135360760799,0.266948639765376
0686-5C,-32.215517706533,-70.870003280923,0.206339698841393
0687-5C,-32.216698553898,-70.86977785392,0.206339698841393
0691-5C,-32.691391440696,-70.790376892951,0.273799689774187
0692-5C,-32.690783296235,-70.789385751001,0.273799689774187
0693-5C,-32.690993527478,-70.790941303288,0.273799689774187
0694-5C,-32.663056235117,-71.147492508541,0.269692643152435
0697-5C,-32.659130543722,-71.164287273439,0.269692643152435
0698-5C,-32.64034476677,-71.16279854368,0.269692643152435
0699-RM,-33.205446308673,-70.340562616581,0.351649154473623
0700-RM,-33.221138719416,-70.343229425924,0.351649154473623
0701-RM,-33.212090234195,-70.341789486802,0.351649154473623
0702-RM,-33.199920965581,-70.33989181094,0.351649154473623
0703-RM,-33.129991603538,-70.732917266908,0.30379643716271
0704-5C,-32.39739855931,-71.317669015442,0.220337817858058
0709-5C,-32.423177643878,-71.079769276507,0.206392019159167
0710-5C,-32.43468850649,-71.074900019834,0.206392019159167
0711-5C,-32.471356675721,-71.084492287611,0.206392019159167
0712-5C,-32.539913692698,-71.132617840008,0.269692643152435
0713-5C,-32.538467521274,-71.133826001782,0.269692643152435
0714-5C,-32.540138571238,-71.133784209979,0.269692643152435
0715-5C,-32.539128386991,-71.135443174409,0.269692643152435
0716-5C,-32.537947943881,-71.136904038767,0.269692643152435
0717-5C,-32.543405061654,-71.127604472072,0.269692643152435
0718-5C,-32.545690130836,-71.125274754137,0.269692643152435
0719-5C,-32.227026026664,-70.960793651315,0.206339698841393
0720-5C,-32.225469410791,-70.965885802485,0.206339698841393
0721-5C,-32.227994354336,-70.958038744792,0.206339698841393
0722-5C,-32.193801705636,-70.944562556427,0.206339698841393
0727-5C,-32.222134670264,-70.876794839836,0.206339698841393
0728-5C,-32.222242847912,-70.877289092998,0.206339698841393
0732-7C,-35.573660302347,-72.402696192914,0.676004250042156
0733-7C,-35.577074986192,-72.401087261694,0.676004250042156
0747-5C,-32.221322455473,-70.874220006338,0.206339698841393
0749-5C,-32.201508401182,-70.872262028141,0.206339698841393
0757-RM,-33.103650109504,-70.913358961266,0.316779837818109
0759-RM,-33.143397602945,-70.831267031281,0.30379643716271
0773-6C,-34.071802715339,-70.861813649547,0.518894089729431
0778-6C,-34.262083904758,-70.672480868682,0.515370806624162
0781-6C,-34.07832182373,-70.813468825199,0.476901110205946
0782-6C,-34.079350911515,-70.814226189906,0.476901110205946
0786-7C,-35.557861735982,-72.58983758436,0.656155115419248
0787-7C,-35.575125561622,-72.586868215507,0.656155115419248
0788-11S,-45.035916766913,-71.943152703038,1.0
0789-11S,-45.033646485672,-71.926779948947,1.0
0790-11S,-45.03349122857,-71.941648475725,1.0
0834-5C,-32.464256872745,-71.062359338195,1.0
